Gene	seed_specificity
NDUFB2	1.0
ARHGEF11	1.0
PPP2R2A	0.87
KIF5A	1.0
RICTOR	1.0
TCF7L1	0.75
SEPTIN5	1.0
SPTBN2	0.83
HES7	1.0
SGK3	0.42000000000000004
MYLK2	0.5800000000000001
MFN2	0.6599999999999999
CSF2RA	0.41000000000000003
PDGFRA	0.47
DCC	0.38
NEFM	1.0
IRF9	0.4
PLCB2	0.74
WNT6	0.31999999999999995
MC2R	0.9
STRADA	1.0
NUDT16L1	1.0
PSMD8	0.5700000000000001
RRAGB	1.0
TLR3	0.32999999999999996
KIF5C	0.47
GP1BB	0.85
FZD9	0.8
SV2C	1.0
TPR	0.32999999999999996
CSNK2A1	0.86
PLCB1	0.44999999999999996
CREB3L3	0.22999999999999998
PARD6A	0.98
SNCAIP	0.61
SLC6A3	0.74
RRAGA	1.0
C9orf72	1.0
KREMEN1	1.0
TGFA	0.64
GSTA1	0.99
FGF14	0.28
FGF3	0.18000000000000005
THBS1	0.48
NRBF2	1.0
CACNA1C	0.69
ACTN4	0.43999999999999995
TYR	0.88
BMP6	0.84
PPP2R5D	0.63
PTGER1	0.31000000000000005
PGF	0.31999999999999995
GSTP1	0.31999999999999995
POLK	0.41000000000000003
EGLN3	0.31999999999999995
FGF12	0.28
IFNA1	0.22999999999999998
HEY2	0.47
EDNRB	0.33999999999999997
MSH2	0.31000000000000005
TEAD2	1.0
NDUFS1	1.0
ELK1	0.52
CYP21A2	1.0
TRAF1	0.25
PRR5	1.0
MIOS	1.0
LLGL2	1.0
LPIN1	0.65
TLE4	0.8
PIM2	0.32999999999999996
DDIT4	1.0
FGF1	0.31999999999999995
FGF21	0.5900000000000001
FGF5	0.63
MC1R	0.8
ATG14	1.0
ADCY3	0.63
PSMB1	0.5800000000000001
GADD45G	0.37
ATXN2	0.5800000000000001
PARD6B	1.0
HSD3B1	1.0
PPP1R12B	0.45999999999999996
GRIN1	0.6699999999999999
FGF11	0.28
DLL3	0.32999999999999996
ADRM1	0.5800000000000001
SIGMAR1	1.0
CREB3L1	0.43000000000000005
CREBBP	0.8200000000000001
CAB39	1.0
CAMK2B	0.71
IL3	0.32999999999999996
E2F2	0.5
KLC2	0.56
PARD6G	1.0
CACNA1S	0.75
CLDN2	0.6599999999999999
TRAF4	0.33999999999999997
LAMB4	0.96
INHBE	0.88
DCT	0.8200000000000001
SOS2	0.49
IHH	0.91
FGF17	0.18000000000000005
KLC4	1.0
MYL12A	0.64
MFN1	0.61
COL6A3	1.0
ATP5PO	1.0
LRRK2	0.85
MYL7	0.9299999999999999
MYL12B	0.64
FGF6	0.63
ZBTB33	1.0
HES5	0.25
DEPTOR	0.76
ATXN3	0.63
SOX7	0.88
MGST1	0.99
FGF18	0.6
CSNK2B	0.52
CCDC6	0.29000000000000004
ADCY8	0.77
CYC1	1.0
APC2	0.09999999999999998
GNGT1	0.38
PTGER2	0.32999999999999996
KIF7	1.0
NTRK2	0.42000000000000004
PARVB	1.0
NCOA4	0.32999999999999996
FGF10	0.6799999999999999
FN1	0.42000000000000004
GSTA5	1.0
PATJ	1.0
WDR59	1.0
CCN4	0.86
SV2B	1.0
WNT2	1.0
KLC3	1.0
LAMB2	0.25
ATP6V0E1	1.0
MAML3	1.0
